Store Name,URL,Genre/Area,Rating,Review Count,Avg Price (JPY),Recommendation Score
餃子のかっちゃん 金沢片町店,https://tabelog.com/ishikawa/A1701/A170101/17014778/," 金沢市 / 居酒屋、餃子、揚げ物
            ",3.02,10.0,2499.0,85
博多もつ鍋 馬肉 九州自慢 金沢駅前店,https://tabelog.com/ishikawa/A1701/A170101/17010848/," 金沢市 / 居酒屋、もつ鍋、餃子
            ",3.08,23.0,3499.0,97
大衆酒場 酔いどれ 金沢駅前店,https://tabelog.com/ishikawa/A1701/A170101/17014241/," 金沢市 / 居酒屋、海鮮、餃子
            ",3.08,27.0,2499.0,87
和風中華 招龍亭,https://tabelog.com/ishikawa/A1701/A170101/17001026/," 金沢市 / 中華料理、餃子
            ",3.26,36.0,4749.0,113
赤門,https://tabelog.com/ishikawa/A1702/A170202/17003103/," 小松市 / 中華料理、居酒屋、餃子
            ",3.35,52.0,3499.0,102
ラーメン山岡家 小松店,https://tabelog.com/ishikawa/A1702/A170202/17013241/," 小松市 / ラーメン、つけ麺、餃子
            ",3.02,29.0,1499.0,75
丸源ラーメン 金沢横川店,https://tabelog.com/ishikawa/A1701/A170101/17007809/," 金沢市 / ラーメン、つけ麺、餃子
            ",3.04,69.0,2000.0,81
８番らーめん 鶴来店,https://tabelog.com/ishikawa/A1702/A170203/17005661/," 白山市 / ラーメン、餃子
            ",3.02,17.0,2000.0,80
餃子の王将 イオン金沢示野店,https://tabelog.com/ishikawa/A1701/A170101/17005741/," 金沢市 / 餃子、中華料理
            ",3.05,36.0,2000.0,81
宝龍,https://tabelog.com/ishikawa/A1702/A170202/17009006/," 小松市 / 中華料理、ラーメン、餃子
            ",3.06,10.0,2000.0,81
尚軒,https://tabelog.com/ishikawa/A1702/A170202/17001608/," 小松市 / 中華料理、餃子、ラーメン
            ",3.22,35.0,1499.0,79
李家楼,https://tabelog.com/ishikawa/A1701/A170101/17008924/," 金沢市 / 中華料理、餃子、ラーメン
            ",3.08,29.0,1499.0,77
餃子の王将 小松店,https://tabelog.com/ishikawa/A1702/A170202/17006759/," 小松市 / 餃子、中華料理
            ",3.03,24.0,2000.0,81
和香居,https://tabelog.com/ishikawa/A1701/A170101/17006789/," 金沢市 / 台湾料理、餃子、ラーメン
            ",3.25,43.0,1499.0,80
焼めし つねを,https://tabelog.com/ishikawa/A1702/A170202/17014016/," 小松市 / 中華料理、餃子
            ",3.26,43.0,2000.0,85
よっしー製作所,https://tabelog.com/ishikawa/A1702/A170202/17005193/," 小松市 / ラーメン、餃子、つけ麺
            ",3.27,59.0,2000.0,85
長風,https://tabelog.com/ishikawa/A1701/A170101/17011435/," 金沢市 / ラーメン、餃子、中華料理
            ",3.17,46.0,1499.0,78
札幌ラーメン 小松インター店,https://tabelog.com/ishikawa/A1702/A170202/17013123/," 小松市 / ラーメン、つけ麺、餃子
            ",3.21,27.0,1499.0,79
８番らーめん 鞍月店,https://tabelog.com/ishikawa/A1701/A170101/17005646/," 金沢市 / ラーメン、餃子
            ",3.03,25.0,1499.0,76
横浜家系ラーメン 魂心家 金沢店,https://tabelog.com/ishikawa/A1701/A170101/17010114/," 金沢市 / ラーメン、つけ麺、餃子
            ",3.05,78.0,2000.0,81
玲瓏餃子,https://tabelog.com/ishikawa/A1703/A170302/17012265/," 七尾市 / 餃子
            ",3.13,17.0,1499.0,78
屋台餃子 風・天,https://tabelog.com/ishikawa/A1701/A170101/17000222/," 金沢市 / 餃子、中華料理
            ",3.4,99.0,1499.0,83
第六ギョーザの店,https://tabelog.com/ishikawa/A1701/A170101/17002526/," 金沢市 / 餃子
            ",3.25,30.0,2499.0,90
中華料理 福龍,https://tabelog.com/ishikawa/A1702/A170203/17009810/," 白山市 / ラーメン、中華料理、餃子
            ",3.07,14.0,2000.0,81
中国料理 麟,https://tabelog.com/ishikawa/A1701/A170101/17009690/," 金沢市 / 中華料理、四川料理、餃子
            ",3.57,112.0,1499.0,86
菜香樓 金沢百番街店,https://tabelog.com/ishikawa/A1701/A170101/17001148/," 金沢市 / 中華料理、弁当、餃子
            ",3.38,105.0,1499.0,83
中国旬菜坊 幸來,https://tabelog.com/ishikawa/A1701/A170101/17000418/," 金沢市 / 中華料理、飲茶・点心、餃子
            ",3.2,26.0,2499.0,89
大阪王将 金沢高柳店 ,https://tabelog.com/ishikawa/A1701/A170101/17007130/," 金沢市 / 餃子、中華料理
            ",3.05,39.0,2000.0,81
らーめん世界 松任店,https://tabelog.com/ishikawa/A1702/A170203/17004955/," 白山市 / ラーメン、餃子
            ",3.05,46.0,1499.0,76
ラーメンとんとん 森本店,https://tabelog.com/ishikawa/A1701/A170101/17006918/," 金沢市 / ラーメン、餃子
            ",3.27,80.0,2000.0,85
第7ギョーザの店,https://tabelog.com/ishikawa/A1701/A170101/17000132/," 金沢市 / 餃子
            ",3.49,850.0,1499.0,85
金石餃子店,https://tabelog.com/ishikawa/A1701/A170101/17005619/," 金沢市 / 中華料理、餃子、ラーメン
            ",3.42,108.0,1499.0,83
風花,https://tabelog.com/ishikawa/A1701/A170101/17000767/," 金沢市 / ラーメン、餃子、丼
            ",3.48,254.0,1499.0,85
餃子の王将 杜の里店,https://tabelog.com/ishikawa/A1701/A170101/17000761/," 金沢市 / ラーメン、中華料理、餃子
            ",3.03,35.0,1499.0,76
大阪王将 野々市店,https://tabelog.com/ishikawa/A1702/A170203/17010298/," 野々市市 / 餃子、中華料理
            ",3.04,27.0,1499.0,76
らーめん樹,https://tabelog.com/ishikawa/A1701/A170101/17007733/," 金沢市 / ラーメン、つけ麺、餃子
            ",3.28,79.0,2000.0,86
龍美,https://tabelog.com/ishikawa/A1702/A170203/17001228/," 能美市 / 餃子、ラーメン
            ",3.19,37.0,1499.0,79
立ち飲み餃子 大笑,https://tabelog.com/ishikawa/A1701/A170101/17010728/," 金沢市 / 餃子、立ち飲み
            ",3.23,30.0,2499.0,90
餃子の王将 金沢東店,https://tabelog.com/ishikawa/A1701/A170101/17007025/," 金沢市 / 餃子、中華料理、ラーメン
            ",3.03,23.0,1499.0,76
餃子の王将 金沢高柳店,https://tabelog.com/ishikawa/A1701/A170101/17006279/," 金沢市 / 中華料理、餃子
            ",3.03,22.0,1499.0,76
手づくり餃子 ぽう,https://tabelog.com/ishikawa/A1702/A170202/17012042/," 小松市 / 餃子
            ",3.17,15.0,2499.0,88
姑娘,https://tabelog.com/ishikawa/A1702/A170201/17001622/," 加賀市 / 中華料理、ラーメン、餃子
            ",3.07,19.0,1499.0,76
餃子の王将 野々市店,https://tabelog.com/ishikawa/A1702/A170203/17006392/," 野々市市 / 餃子、中華料理、ラーメン
            ",3.05,41.0,1499.0,76
餃子の王将 松任店,https://tabelog.com/ishikawa/A1702/A170203/17002596/," 白山市 / 餃子、中華料理
            ",3.04,30.0,1499.0,76
餃子の王将 野々市新庄店,https://tabelog.com/ishikawa/A1702/A170203/17007674/," 野々市市 / 中華料理、餃子
            ",3.03,19.0,2000.0,81
東京餃子軒 イオンモール白山店,https://tabelog.com/ishikawa/A1702/A170203/17012936/," 白山市 / 餃子、中華料理
            ",3.04,16.0,1499.0,76
8番らーめん 金沢駅店,https://tabelog.com/ishikawa/A1701/A170101/17009217/," 金沢市 / ラーメン、中華料理、餃子
            ",3.29,661.0,1499.0,81
氷見ラーメン 野々市粟田店,https://tabelog.com/ishikawa/A1702/A170203/17008443/," 野々市市 / ラーメン、餃子
            ",3.21,42.0,2000.0,84
酔八仙,https://tabelog.com/ishikawa/A1701/A170101/17001590/," 金沢市 / 中華料理、ラーメン、餃子
            ",3.32,71.0,4499.0,111
餃子のあひる,https://tabelog.com/ishikawa/A1702/A170203/17005348/," 野々市市 / 餃子
            ",3.22,25.0,2000.0,84
ギョーザの店 芳斉店,https://tabelog.com/ishikawa/A1701/A170101/17002569/," 金沢市 / 中華料理、餃子
            ",3.26,39.0,2000.0,85
和風中華・手作り餃子の店ひろちゃん,https://tabelog.com/ishikawa/A1702/A170203/17000269/," 能美市 / 中華料理、餃子、ラーメン
            ",3.23,24.0,2499.0,90
金沢中華 50年餃子とやみつき麻婆豆腐 全開口笑,https://tabelog.com/ishikawa/A1701/A170101/17000583/," 金沢市 / 中華料理、餃子
            ",3.35,70.0,2999.0,97
長楽,https://tabelog.com/ishikawa/A1702/A170201/17004258/," 加賀市 / 餃子、中華料理
            ",3.28,45.0,2000.0,86
金沢餃子酒場,https://tabelog.com/ishikawa/A1701/A170101/17012513/," 金沢市 / 居酒屋、餃子
            ",3.25,50.0,3499.0,100
パリキング,https://tabelog.com/ishikawa/A1701/A170101/17011704/," 金沢市 / 居酒屋、餃子、立ち飲み
            ",3.09,29.0,2499.0,87
らーめん松田屋,https://tabelog.com/ishikawa/A1701/A170101/17008429/," 金沢市 / ラーメン、つけ麺、餃子
            ",3.23,45.0,2000.0,85
ラーメンAJ,https://tabelog.com/ishikawa/A1703/A170302/17008705/," 七尾市 / ラーメン、つけ麺、餃子
            ",3.07,24.0,1499.0,76
宝来軒,https://tabelog.com/ishikawa/A1702/A170203/17001633/," 能美市 / ラーメン、餃子
            ",3.07,19.0,1499.0,76
餃子菜館 勝ちゃん,https://tabelog.com/ishikawa/A1702/A170202/17000692/," 小松市 / 中華料理、餃子
            ",3.49,555.0,1999.0,90
クーニャンツー,https://tabelog.com/ishikawa/A1702/A170201/17001846/," 加賀市 / ラーメン、中華料理、餃子
            ",3.06,13.0,2000.0,81
餃子 竜香,https://tabelog.com/ishikawa/A1702/A170203/17011849/," 白山市 / 餃子、中華料理、ラーメン
            ",3.05,4.0,2000.0,81
口口香,https://tabelog.com/ishikawa/A1701/A170102/17013479/," かほく市 / 小籠包、餃子、中華粥
            ",3.03,2.0,1499.0,76
餃子の新和軒,https://tabelog.com/ishikawa/A1701/A170101/17014717/," 金沢市 / 餃子、中華料理
            ",3.08,7.0,2000.0,82
餃子小籠包 福包酒場 片町店,https://tabelog.com/ishikawa/A1701/A170101/17014660/," 金沢市 / 居酒屋、餃子、中華料理
            ",3.04,5.0,2499.0,86
西安味道,https://tabelog.com/ishikawa/A1702/A170203/17011460/," 野々市市 / 餃子、肉まん、飲茶・点心
            ",3.0,1.0,2000.0,80
能登まるまる餃子店,https://tabelog.com/ishikawa/A1704/A170403/17014346/," 鳳珠郡能登町 / 餃子
            ",3.04,3.0,2000.0,81
屋台餃子 虎衛門,https://tabelog.com/ishikawa/A1701/A170101/17014481/," 金沢市 / 餃子、居酒屋
            ",3.07,9.0,2000.0,81
隠れ家,https://tabelog.com/ishikawa/A1701/A170101/17009465/," 金沢市 / 居酒屋、餃子、海鮮
            ",3.05,5.0,1499.0,76
剛力,https://tabelog.com/ishikawa/A1701/A170101/17008369/," 金沢市 / ラーメン、餃子、中華料理
            ",3.03,9.0,2000.0,81
台湾料理 天福,https://tabelog.com/ishikawa/A1702/A170201/17012787/," 加賀市 / 台湾料理、中華料理、餃子
            ",3.06,5.0,2000.0,81
黒龍軒,https://tabelog.com/ishikawa/A1702/A170202/17001618/," 小松市 / 中華料理、餃子
            ",3.02,8.0,2000.0,80
福華,https://tabelog.com/ishikawa/A1702/A170203/17009735/," 能美市 / 餃子
            ",3.02,3.0,2000.0,80
やぶ椿,https://tabelog.com/ishikawa/A1704/A170402/17008240/," 珠洲市 / そば、餃子
            ",3.07,9.0,1499.0,76
清華園,https://tabelog.com/ishikawa/A1702/A170203/17005287/," 白山市 / 中華料理、ラーメン、餃子
            ",3.04,7.0,2000.0,81
王記厨房 新小松店,https://tabelog.com/ishikawa/A1702/A170202/17010571/," 小松市 / ラーメン、餃子、中華料理
            ",3.01,8.0,2000.0,80
まっちゃん,https://tabelog.com/ishikawa/A1703/A170302/17003591/," 七尾市 / 餃子
            ",3.0,4.0,2000.0,80
珠城ぎょうざ,https://tabelog.com/ishikawa/A1701/A170101/17011040/," 金沢市 / 餃子、中華料理
            ",3.0,,2000.0,80
志いぼ,https://tabelog.com/ishikawa/A1702/A170202/17012515/," 小松市 / 餃子
            ",3.0,2.0,2000.0,80
